d242fdc9-772b-4d97-94bb-dabdec22ebe7	5	Worked like a charm! Everyone was amazed by the candle, especially my daughter!
05d4b845-1772-4f02-8dcc-b0ef4c1e06f8	5	These are super fun!  Easy to figure out true measure. Super quality. Helpful for bulk vitamin powders and for my herb teas.
b848c565-1a0b-4810-9dfc-9a537cfedcbf	3	I liked it but it is too big.  Beautiful piece that falls off my hand.  It's made for someone with an 8.  1/2 wrist at minimum.
ae56ebfe-0abf-4a55-88fc-d838b834d4ae	5	This is great. I use it all the time.
1646a66b-4a17-4a88-86fc-d051047c0a60	5	Lol.. ppl look 👆read the description.. it clearly says just the post.....
4d849800-f3ef-4cfd-a12f-283ddf60f658	5	Simply beautiful
3f6ee1b3-6b07-414b-9cb2-7517fa291300	5	This is fantastic,Ilove
91a2f113-daee-4a7a-ab34-a92b7d09f0bc	5	lovely
58ded8c4-fed8-4f3a-a6e7-ad6229a3d69b	5	FAVORITE plugs I own. I get compliments Everytime I wear these. They are kinda difficult to screw on, but totally worth every penny.<br />Got them in a size 0g
a85b1a5c-b30f-4251-bedd-7c6eebc00961	5	Bought this for the GF. Nerd! But she loves it.
9873538d-d347-4476-976c-c7c9038c31a8	5	THEY ARE LOVELY
07058385-de95-4456-adb8-efa70f44de6f	4	Great
abc0216b-c7cc-4435-8355-a5016c4d19c5	5	Beautiful!
b88b4e1f-064f-444d-8ce1-70a3ca272536	3	I didn't like this product either.  I purchased the lid rack, this and one other.  For me, the space this saves isn't worth removing a shelf in my cabinet for.  If you have a cabinet with no shevles, this could be a great resource.
2fcabc7e-ba02-4519-aa47-624ce3939d86	5	Honestly even more beautiful than the picture!!! My boyfriend gave this to me as a replacement for the ring he bought last year,  it was silver and 5 months later I had an allergic reaction.  I was devastated and never thought I would be in such aw. Then I found this.  It's stunning!
40a4744f-fa55-490f-a115-f9adefcf1243	2	Center gem fell off when I took it out of the package, and the gems were off center. I liked the bright silver color metal part of it though.
